Word,Freq
carried,1427
away,5953
fancy,512
alloy,15
approve,74
take,5621
boy,1938
impoverishing,1
dreadful,454
begged,505
think,5559
subject,988
answer,1309
rob,74
possible,1428
claim,339
miss,2198
dashwoods,36
related,176
blood,1401
considered,497
relationship,36
amount,300
supposed,498
exist,150
different,970
marriages,45
why,4075
ruin,293
poor,2641
harry,151
giving,779
money,2092
my,36587
last,4698
request,366
me,29830
replied,2605
i,112393
should,8050
assist,148
know,8073
talking,644
dare,467
say,6404
light,2863
headed,307
senses,201
begging,107
you,53187
your,13785
stipulate,3
particular,630
fanny,57
requested,107
perhaps,2105
if,18175
myself,3113
hardly,957
suppose,1044
neglect,135
less,1680
least,1738
performed,260
something,2621
done,3722
whenever,331
settle,191
new,3671
let,6401
need,1181
once,4179
parted,205
can,9184
return,1659
marry,504
gone,2191
indeed,2139
restored,196
our,10609
sure,2186
said,23635
gravely,124
difference,389
may,7149
regret,266
numerous,302
instance,380
convenient,186
better,2910
parties,222
diminished,64
five,2176
hundred,2397
prodigious,86
oh,3012
anything,1988
earth,2375
spirit,1685
wish,1562
mean,1487
occasions,216
expect,466
knowing,551
we,22133
expectations,74
question,1339
certainly,1079
mine,1814
about,10135
strikes,101
want,2361
divided,344
amongst,169
doing,1021
together,2563
TRUE,1815
whether,1543
upon,14657
advisable,44
while,5016
lives,627
annuity,49
effects,192
perfectly,583
hesitated,168
consent,238
parting,173
fifteen,380
shall,15866
taken,2246
cannot,2052
worth,664
purchase,144
observe,419
always,3144
paid,609
stout,190
healthy,89
forty,691
serious,490
business,1582
comes,890
getting,851
rid,208
aware,382
trouble,1233
annuities,11
clogged,8
payment,65
superannuated,8
servants,1083
amazing,79
disagreeable,139
found,5155
twice,467
these,8759
turned,2807
out,17436
sick,653
perpetual,131
claims,109
because,4590
otherwise,373
entirely,665
restriction,5
whatever,741
has,8381
abhorrence,34
am,6341
pin,139
down,8885
world,3245
unpleasant,142
yearly,54
drains,6
justly,127
says,1922
regular,254
rent,222
desirable,61
takes,390
independence,86
undoubtedly,173
after,8565
secure,362
expected,579
raises,20
gratitude,262
discretion,93
bind,117
allow,556
inconvenient,26
fifty,800
expenses,105
believe,2124
case,2017
occasionally,204
assistance,337
allowance,122
enlarge,33
style,343
felt,2346
larger,303
sixpence,39
richer,57
end,2698
best,1970
prevent,322
being,5376
distressed,82
discharging,15
truth,1382
convinced,371
idea,1166
looking,2044
helping,109
move,597
things,4846
presents,135
fish,938
game,459
forth,1886
season,515
ll,4306
farther,425
strange,1304
unreasonable,63
excessively,49
belonging,179
brings,169
course,2692
pay,880
board,784
altogether,527
women,1312
cheap,156
housekeeping,18
carriage,533
horses,618
keep,2498
company,1479
conceive,130
imagine,540
spend,296
absurd,179
able,1726
word,2884
clearly,337
understand,1472
strictly,98
fulfil,95
engagement,191
acts,247
described,346
removes,9
another,4183
services,207
readily,250
furniture,240
acceptable,72
returned,1640
moved,713
stanhill,3
sold,469
china,148
plate,179
linen,291
saved,519
fitted,191
material,261
consideration,277
legacy,26
pleasant,599
stock,343
here,5869
set,3503
breakfast,578
belongs,118
owe,154
argument,197
irresistible,90
intentions,72
decision,184
wanting,182
finally,667
absolutely,431
unnecessary,125
indecorous,2
neighbourly,9
pointed,456
several,1634
months,907
disinclination,13
sight,2103
spot,644
ceased,324
raise,411
violent,332
emotion,280
spirits,508
began,2636
revive,52
became,1437
heightening,6
melancholy,264
remembrances,9
impatient,188
indefatigable,29
inquiries,162
suitable,123
dwelling,213
remove,266
beloved,253
impossible,827
hear,2397
answered,2522
notions,86
ease,378
prudence,67
steadier,6
rejected,96
houses,832
approved,92
informed,435
solemn,310
part,2846
favour,448
earthly,106
reflections,105
doubted,103
sincerity,129
satisfaction,437
persuaded,230
smaller,192
l,1040
support,289
affluence,20
rejoiced,135
reproached,62
merit,120
believing,135
incapable,92
attentive,47
welfare,70
firmly,193
relied,41
liberality,42
contempt,175
early,1061
character,946
afforded,111
spite,516
politeness,104
maternal,33
side,3305
ladies,503
circumstance,292
occurred,467
eligibility,3
according,1622
opinions,188
growing,417
pleasing,148
introduced,273
establishment,121
since,2100
greatest,572
mothers,77
intimacy,83
motives,121
edward,432
ferrars,130
rich,891
repressed,14
except,857
trifling,97
depended,99
alike,171
uninfluenced,1
either,1297
loved,715
partiality,29
contrary,364
doctrine,151
couple,435
asunder,55
attracted,198
acknowledged,113
comprehension,40
peculiar,396
graces,55
address,568
manners,217
diffident,18
justice,502
natural,815
shyness,22
overcome,252
indication,44
open,2141
education,258
longed,155
see,8972
distinguished,280
wanted,1181
fine,1631
figure,707
political,233
concerns,83
get,4284
parliament,63
connected,270
men,6754
superior,280
blessings,102
attained,123
quieted,25
ambition,171
driving,251
barouche,6
turn,1747
barouches,1
centered,6
domestic,136
private,557
fortunately,158
younger,226
promising,123
staying,143
weeks,566
engaged,573
careless,121
objects,231
unobtrusive,12
liked,278
disturb,104
timed,22
conversation,846
called,3218
chanced,99
contrast,116
forcibly,48
unlike,124
implies,19
smile,731
sentiment,164
approbation,86
inferior,94
esteem,144
separate,210
took,4866
pains,193
acquainted,318
attaching,18
banished,52
reserve,150
speedily,151
comprehended,30
merits,88
persuasion,62
regard,618
assisted,84
penetration,41
assured,386
quietness,41
militated,1
established,327
ideas,240
ought,1020
uninteresting,22
warm,528
perceive,222
symptom,29
certain,2135
looked,3357
forward,967
rapidly,250
approaching,283
few,3628
probability,152
happy,1177
mama,31
scarcely,744
separation,110
miles,1330
meet,1050
gain,317
real,721
highest,342
look,3809
grave,677
disapprove,12
choice,291
surprise,736
tenderly,82
striking,258
none,1477
grace,923
seriously,194
attach,43
eyes,5094
fire,2275
announce,45
virtue,248
intelligence,287
afraid,1228
taste,550
music,450
seems,946
attract,81
admires,12
drawings,27
admiration,277
evident,256
frequent,216
draws,52
fact,1590
knows,741
matter,2388
lover,377
connoisseur,21
satisfy,140
characters,181
united,490
point,1641
coincide,9
enter,611
same,4157
books,649
charm,165
us,9180
both,2857
spiritless,5
tame,71
reading,472
night,4864
severely,140
bore,424
composure,85
seemed,3104
seat,598
beautiful,1138
lines,566
driven,431
wild,889
pronounced,218
impenetrable,46
calmness,67
indifference,162
simple,728
elegant,144
prose,50
cowper,31
nay,409
animated,83
overlook,33
broke,746
require,179
virtues,83
ornament,87
remember,1342
seventeen,92
despair,397
fortunate,187
destiny,98
pity,516
drawing,441
does,1660
draw,445
seeing,1164
performances,29
assure,234
deficient,37
opportunities,128
improving,42
learning,264
drawn,576
distrusts,2
matters,498
unwilling,109
picture,454
innate,10
simplicity,117
direct,250
offending,19
excited,316
rapturous,28
alone,1616
smiling,309
mistake,363
honoured,113
blind,380
continued,1131
cordial,86
civil,184
wound,359
account,1127
length,1091
offended,156
praise,623
estimating,11
minuter,2
propensities,6
inclinations,44
tastes,69
worthy,439
dearest,110
friends,1843
dissatisfied,54
commendation,28
express,331
yourself,1026
warmly,110
find,3352
easily,746
pleased,612
doubt,1538
seen,3184
often,1565
unreserved,12
excellence,39
principles,197
concealed,215
keeps,167
silent,643
call,1780
circumstances,715
kept,1814
ignorant,222
times,1667
thrown,483
engrossed,59
principle,203
studied,169
sentiments,146
heard,4027
subjects,207
literature,172
venture,245
pronounce,98
enjoyment,147
exceedingly,290
imagination,401
lively,146
observation,244
just,5750
correct,242
delicate,357
pure,382
respect,613
improve,69
expression,628
uncommonly,36
sweetness,95
countenance,467
perceived,310
tell,3970
imperfection,5
face,4258
started,1083
declaration,173
sorry,612
warmth,140
betrayed,124
speaking,682
stood,2647
high,2537
believed,633
mutual,145
certainty,125
conviction,217
agreeable,278
conjectured,31
next,2411
tried,1191
explain,401
state,1371
attempt,553
deny,177
greatly,498
burst,439
indignation,289
worse,597
ashamed,438
use,1798
words,3354
room,4069
help,2048
laughing,443
excuse,361
stronger,251
declared,474
short,1439
suspicion,325
warrant,82
folly,283
moments,430
extent,289
doubtful,149
fully,457
wonder,773
wishing,161
encouragement,88
calling,376
preference,65
points,367
inclination,147
mention,363
mistaken,326
difficulties,210
rank,210
astonished,258
outstripped,6
happen,439
advantages,117
proceed,282
delay,297
lose,495
pursuit,178
indispensably,3
necessary,809
felicity,40
stimulated,36
genius,240
delightful,210
prosperous,67
denote,11
spoke,1209
unpromising,12
supposing,135
inquietude,5
likely,685
dejection,16
attended,282
reasonable,174
cause,1475
dependent,57
forbade,34
indulgence,70
behaved,127
form,1047
attending,84
views,253
aggrandizement,4
depending,44
result,562
sometimes,1111
painful,253
minutes,1306
friendship,303
limits,86
uneasy,139
uncivil,6
affronting,4
expressively,5
resolution,315
sons,1915
attempted,169
pretend,131
unconscious,165
endeavor,83
calm,421
marked,383
instantly,413
resolving,33
expense,281
sudden,711
removal,81
exposed,237
week,796
insinuations,39
letter,1620
delivered,636
post,484
contained,289
proposal,154
particularly,351
offer,702
relation,222
consequence,448
devonshire,48
written,1054
friendly,293
accommodation,71
understood,602
offered,768
cottage,211
particulars,177
